Наименование,Изображение,Цена,Остаток,Упаковка,Описание,Заказ
Перчатки латексные особопрочные Manual HR 419 (25 пар) M,,"875,5",17,"Количество: 10 пар
Вес: 8.92 кг
Объем: 0.027 м",,
Перчатки хозяйственные латексные жёлтые разм. XL,,"19,5",1689,"Количество: 12 пар
Вес: 0.43 кг
Объем: 0.00125 м","Состав — 100% латекс
Перчатки гипоаллергенны.",
"Протирочный материал белый,лист 35*35см.(упак.2рул.,1000отр.,втул,2-сл, с тисн.,перф.,40гр/м2,350м+-",,2667,2,"Количество: 1 шт
Вес: 9.86 кг
Объем: 0.085 м","Рулонные полотенца для рук имеют широкий спектр применения. В пищевой 
промышленности бумажные
полотенца используются для удаления различных жидкостей с рабочих 
поверхностей, а так же для сушки
Продуктов. Имеют широкий спектр применения – от кухни, где происходит 
рождение кулинарных шедевров,
до гостевых туалетных комнат. В любом случае, гигиена и комфорт стоят на 
первом месте. Важно, чтобы
Полотенца были мягкими и хорошо впитывали.
Характеристика товара: 350 метров, 1000 листов , 2 слоя по 20 гр. , 
Размер листа 35 х 35 см.
100% целлюлоза, влагопрочная, белая.",
"Нитепрошивное полотно (Неткол) пл.110 + -10,ш.78+-2",,"32,5",200,"Количество: 100 шт
Вес: 8.2 кг
Объем: 0.065 м","Нитепрошивное полотно плотно. (Неткол) пл.110 + -10,ш.78+-2
Неткол — это хлопковая техническая ткань. Неткол производиться нетканым методом, 
нитепрошивным способом. Прочный и отлично влаговпитывающий уборочный и обтирочный  материал,
Легко отживается и не оставляет на протираемой поверхности волокон. 
100% хлопок
Ширина = 78см. Длина = 100 метров",
Салфетка техническая вафельная отбеленная (бесшовная) 40х40,,"6,9",270,"Количество: 800 шт
Вес: 17.6 кг
Объем: 0.053 м",,
"Холстопрошивное полотно (белое) пл.160(+,-10гр) ш.0,75м, рул.(50м)",,"33,3",50,"Количество: 50 шт
Вес: 5.685 кг
Объем: 0.092 м","Белое холстопрошивное полотно производят из хлопчатобумажного 
Сырья с минимальным количеством синтетики.
Ширина =  75см
Длина = 50 метров
Холстопрошивное полотно представляет собой нетканый массив волокон, скреплённый через небольшие
 промежутки швами. Имеет высокую площадь поверхности, благодаря своей рыхлой структуре, оно
 гигроскопично и хорошо тепло-изолирует. Хорошо впитывает влагу и пыль, быстро сохнет и легко 
Отжимается. Материал предназначен для хозяйственных и строительных целей. Холстопрошивное 
полотно применяется в качестве материала для уборки, мытья полов, а также в качестве обтирочного 
средства в производственных цехах. Также холстопрошивное полотно используется как прокладочный
 материал при изготовлении мебели и как утеплитель одежды и обуви. 
Применяется для упаковки бьющихся предметов.",
"Холстопрошивное полотно (серое) пл.160(+,-10гр) ш.1,5м, рул.(50м)",,50,50,"Количество: 50 шт
Вес: 11 кг
Объем: 0.184 м","Серого  пролотно  изготавливается из отходов хлопчатобумажного производства – очесы, угары, путанка, с большим количеством синтетики
Ширина = 1,5 метра
Длина = 50 метров
Имеет высокую площадь поверхности, благодаря своей рыхлой структуре, оно
 гигроскопично и хорошо тепло-изолирует.
Материал предназначен для хозяйственных и строительных целей.",
"Холстопрошивное полотно (серое) пл.180(+,-10гр) ш. 1,5 м, рул.(50м)",,"55,9",700,"Количество: 50 шт
Вес: 13 кг
Объем: 0.24 м",,
"Холстопрошивное полотно (серое) пл.180(+,-10гр) ш.0,75м, рул.(50м)",,29,100,"Количество: 50 шт
Вес: 6.75 кг
Объем: 0.12 м",,
Изолента ПВХ желтая в полоску 19*20 м 150 мкрн.,,"72,2",60,"Количество: 60 шт
Вес: 6 кг
Объем: 0.008 м",,
